score_id,student_id,school_year,semester,exam_period,subject_name,subject_cat,raw_score,grade,credit_hours,z_score
1,1,,1-1-중간,,국어,공통,68.0,4,4.0,-0.849
2,1,,1-1-중간,,수학,공통,79.0,3,4.0,0.37
3,1,,1-1-중간,,영어,공통,68.0,4,4.0,-0.808
4,1,,1-1-중간,,사회탐구,탐구,79.0,3,3.0,0.377
5,1,,1-1-기말,,국어,공통,68.0,4,4.0,-0.849
6,1,,1-1-기말,,수학,공통,68.0,4,4.0,-0.788
7,1,,1-1-기말,,영어,공통,68.0,4,4.0,-0.808
8,1,,1-1-기말,,사회탐구,탐구,79.0,3,3.0,0.377
9,1,,1-2-중간,,국어,공통,68.0,4,4.0,-0.849
10,1,,1-2-중간,,수학,공통,79.0,3,4.0,0.37
11,1,,1-2-중간,,영어,공통,68.0,4,4.0,-0.808
12,1,,1-2-중간,,사회탐구,탐구,68.0,4,3.0,-0.779
13,1,,1-2-기말,,국어,공통,68.0,4,4.0,-0.849
14,1,,1-2-기말,,수학,공통,68.0,4,4.0,-0.788
15,1,,1-2-기말,,영어,공통,68.0,4,4.0,-0.808
16,1,,1-2-기말,,사회탐구,탐구,68.0,4,3.0,-0.779
17,1,,2-1-중간,,국어,공통,68.0,4,4.0,-0.849
18,1,,2-1-중간,,수학,공통,68.0,4,4.0,-0.788
19,1,,2-1-중간,,영어,공통,68.0,4,4.0,-0.808
20,1,,2-1-중간,,사회탐구,탐구,79.0,3,3.0,0.377
21,1,,2-1-기말,,국어,공통,68.0,4,4.0,-0.849
22,1,,2-1-기말,,수학,공통,68.0,4,4.0,-0.788
23,1,,2-1-기말,,영어,공통,68.0,4,4.0,-0.808
24,1,,2-1-기말,,사회탐구,탐구,68.0,4,3.0,-0.779
25,1,,3-1-중간,,국어,공통,68.0,4,4.0,-0.849
26,1,,3-1-중간,,수학,공통,68.0,4,4.0,-0.788
27,1,,3-1-중간,,영어,공통,79.0,3,4.0,0.346
28,1,,3-1-중간,,사회탐구,탐구,79.0,3,3.0,0.377
29,1,,3-1-기말,,국어,공통,68.0,4,4.0,-0.849
30,1,,3-1-기말,,수학,공통,68.0,4,4.0,-0.788
31,1,,3-1-기말,,영어,공통,68.0,4,4.0,-0.808
32,1,,3-1-기말,,사회탐구,탐구,68.0,4,3.0,-0.779
33,2,,1-1-중간,,국어,공통,68.0,4,4.0,-0.849
34,2,,1-1-중간,,수학,공통,68.0,4,4.0,-0.788
35,2,,1-1-중간,,영어,공통,79.0,3,4.0,0.346
36,2,,1-1-중간,,사회탐구,탐구,68.0,4,3.0,-0.779
37,2,,1-1-기말,,국어,공통,68.0,4,4.0,-0.849
38,2,,1-1-기말,,수학,공통,68.0,4,4.0,-0.788
39,2,,1-1-기말,,영어,공통,68.0,4,4.0,-0.808
40,2,,1-1-기말,,사회탐구,탐구,68.0,4,3.0,-0.779
41,2,,1-2-중간,,국어,공통,68.0,4,4.0,-0.849
42,2,,1-2-중간,,수학,공통,79.0,3,4.0,0.37
43,2,,1-2-중간,,영어,공통,79.0,3,4.0,0.346
44,2,,1-2-중간,,사회탐구,탐구,79.0,3,3.0,0.377
45,2,,1-2-기말,,국어,공통,79.0,3,4.0,0.35
46,2,,1-2-기말,,수학,공통,79.0,3,4.0,0.37
47,2,,1-2-기말,,영어,공통,79.0,3,4.0,0.346
48,2,,1-2-기말,,사회탐구,탐구,79.0,3,3.0,0.377
49,2,,2-1-중간,,국어,공통,68.0,4,4.0,-0.849
50,2,,2-1-중간,,수학,공통,79.0,3,4.0,0.37
51,2,,2-1-중간,,영어,공통,79.0,3,4.0,0.346
52,2,,2-1-중간,,사회탐구,탐구,79.0,3,3.0,0.377
53,2,,2-1-기말,,국어,공통,79.0,3,4.0,0.35
54,2,,2-1-기말,,수학,공통,68.0,4,4.0,-0.788
55,2,,2-1-기말,,영어,공통,68.0,4,4.0,-0.808
56,2,,2-1-기말,,사회탐구,탐구,68.0,4,3.0,-0.779
57,2,,3-1-중간,,국어,공통,79.0,3,4.0,0.35
58,2,,3-1-중간,,수학,공통,68.0,4,4.0,-0.788
59,2,,3-1-중간,,영어,공통,79.0,3,4.0,0.346
60,2,,3-1-중간,,사회탐구,탐구,79.0,3,3.0,0.377
61,2,,3-1-기말,,국어,공통,68.0,4,4.0,-0.849
62,2,,3-1-기말,,수학,공통,68.0,4,4.0,-0.788
63,2,,3-1-기말,,영어,공통,68.0,4,4.0,-0.808
64,2,,3-1-기말,,사회탐구,탐구,68.0,4,3.0,-0.779
65,3,,1-1-중간,,국어,공통,79.0,3,4.0,0.35
66,3,,1-1-중간,,수학,공통,90.0,2,4.0,1.529
67,3,,1-1-중간,,영어,공통,90.0,2,4.0,1.5
68,3,,1-1-중간,,사회탐구,탐구,100.0,1,3.0,2.69
69,3,,1-1-기말,,국어,공통,90.0,2,4.0,1.549
70,3,,1-1-기말,,수학,공통,90.0,2,4.0,1.529
71,3,,1-1-기말,,영어,공통,90.0,2,4.0,1.5
72,3,,1-1-기말,,사회탐구,탐구,90.0,2,3.0,1.534
73,3,,1-2-중간,,국어,공통,90.0,2,4.0,1.549
74,3,,1-2-중간,,수학,공통,90.0,2,4.0,1.529
75,3,,1-2-중간,,영어,공통,90.0,2,4.0,1.5
76,3,,1-2-중간,,사회탐구,탐구,90.0,2,3.0,1.534
77,3,,1-2-기말,,국어,공통,90.0,2,4.0,1.549
78,3,,1-2-기말,,수학,공통,90.0,2,4.0,1.529
