analysis_id,student_id,analysis_type,pass_prob,score_gap,model_version,summary_text,analyzed_at,analysis_summary,record_strength,fit_keyword_count,analysis_version,created_at
1,1,종합지원분석,0.568,-0.018,v1.0,"서강대학교 기준 내신이 기준보다 높아 생기부 보완이 필요. 키워드 적합도 6건, 생기부 중요도는 절대적으로 반영.
기록강점: 보완필요 | 키워드일치: 6",2026-04-22 09:30:00,,,,,
2,2,종합지원분석,0.693,-0.29,v1.0,"서강대학교 기준 내신이 70% 컷 안쪽에 위치. 키워드 적합도 5건, 생기부 중요도는 절대적으로 반영.
기록강점: 보완필요 | 키워드일치: 5",2026-04-22 09:30:00,,,,,
3,3,종합지원분석,0.864,-1.939,v1.0,"서강대학교 기준 내신이 70% 컷 안쪽에 위치. 키워드 적합도 4건, 생기부 중요도는 절대적으로 반영.
기록강점: 양호 | 키워드일치: 4",2026-04-22 09:30:00,,,,,
4,4,종합지원분석,0.621,-0.133,v1.0,"서강대학교 기준 내신이 기준보다 높아 생기부 보완이 필요. 키워드 적합도 2건, 생기부 중요도는 절대적으로 반영.
기록강점: 양호 | 키워드일치: 2",2026-04-22 09:30:00,,,,,
5,5,종합지원분석,0.852,-1.536,v1.0,"서강대학교 기준 내신이 70% 컷 안쪽에 위치. 키워드 적합도 3건, 생기부 중요도는 절대적으로 반영.
기록강점: 양호 | 키워드일치: 3",2026-04-22 09:30:00,,,,,
6,6,종합지원분석,0.594,-0.074,v1.0,"서강대학교 기준 내신이 기준보다 높아 생기부 보완이 필요. 키워드 적합도 4건, 생기부 중요도는 절대적으로 반영.
기록강점: 양호 | 키워드일치: 4",2026-04-22 09:30:00,,,,,
7,7,종합지원분석,0.82,-0.179,v1.0,"경기대학교 기준 내신이 70% 컷 안쪽에 위치. 키워드 적합도 2건, 생기부 중요도는 보통으로 반영.
기록강점: 보완필요 | 키워드일치: 2",2026-04-22 09:30:00,,,,,
8,8,종합지원분석,0.839,-1.106,v1.0,"서강대학교 기준 내신이 70% 컷 안쪽에 위치. 키워드 적합도 5건, 생기부 중요도는 절대적으로 반영.
기록강점: 양호 | 키워드일치: 5",2026-04-22 09:30:00,,,,,
9,9,종합지원분석,0.452,0.098,v1.0,"서강대학교 기준 내신이 기준보다 높아 생기부 보완이 필요. 키워드 적합도 4건, 생기부 중요도는 절대적으로 반영.
기록강점: 보완필요 | 키워드일치: 4",2026-04-22 09:30:00,,,,,
10,10,종합지원분석,0.222,0.723,v1.0,"서강대학교 기준 내신이 기준보다 높아 생기부 보완이 필요. 키워드 적합도 4건, 생기부 중요도는 절대적으로 반영.
기록강점: 보완필요 | 키워드일치: 4",2026-04-22 09:30:00,,,,,
11,11,종합지원분석,0.844,-1.282,v1.0,"서강대학교 기준 내신이 70% 컷 안쪽에 위치. 키워드 적합도 5건, 생기부 중요도는 절대적으로 반영.
기록강점: 양호 | 키워드일치: 5",2026-04-22 09:30:00,,,,,
12,12,종합지원분석,0.85,-1.482,v1.0,"서강대학교 기준 내신이 70% 컷 안쪽에 위치. 키워드 적합도 5건, 생기부 중요도는 절대적으로 반영.
기록강점: 우수 | 키워드일치: 5",2026-04-22 09:30:00,,,,,
13,13,종합지원분석,0.192,0.889,v1.0,"서강대학교 기준 내신이 기준보다 높아 생기부 보완이 필요. 키워드 적합도 2건, 생기부 중요도는 절대적으로 반영.
기록강점: 보완필요 | 키워드일치: 2",2026-04-22 09:30:00,,,,,
14,14,종합지원분석,0.571,-0.023,v1.0,"서강대학교 기준 내신이 기준보다 높아 생기부 보완이 필요. 키워드 적합도 2건, 생기부 중요도는 절대적으로 반영.
기록강점: 우수 | 키워드일치: 2",2026-04-22 09:30:00,,,,,
15,15,종합지원분석,0.843,-0.931,v1.0,"경기대학교 기준 내신이 70% 컷 안쪽에 위치. 키워드 적합도 1건, 생기부 중요도는 보통으로 반영.
기록강점: 보완필요 | 키워드일치: 1",2026-04-22 09:30:00,,,,,
16,16,종합지원분석,0.853,-1.592,v1.0,"서강대학교 기준 내신이 70% 컷 안쪽에 위치. 키워드 적합도 5건, 생기부 중요도는 절대적으로 반영.
기록강점: 양호 | 키워드일치: 5",2026-04-22 09:30:00,,,,,
17,17,종합지원분석,0.765,-0.448,v1.0,"서강대학교 기준 내신이 70% 컷 안쪽에 위치. 키워드 적합도 4건, 생기부 중요도는 절대적으로 반영.
기록강점: 양호 | 키워드일치: 4",2026-04-22 09:30:00,,,,,
18,18,종합지원분석,0.836,-0.691,v1.0,"경기대학교 기준 내신이 70% 컷 안쪽에 위치. 키워드 적합도 1건, 생기부 중요도는 보통으로 반영.
기록강점: 보완필요 | 키워드일치: 1",2026-04-22 09:30:00,,,,,
19,19,종합지원분석,0.275,0.428,v1.0,"서강대학교 기준 내신이 기준보다 높아 생기부 보완이 필요. 키워드 적합도 4건, 생기부 중요도는 절대적으로 반영.
기록강점: 보완필요 | 키워드일치: 4",2026-04-22 09:30:00,,,,,
20,20,종합지원분석,0.695,-0.295,v1.0,"서강대학교 기준 내신이 70% 컷 안쪽에 위치. 키워드 적합도 3건, 생기부 중요도는 절대적으로 반영.
기록강점: 양호 | 키워드일치: 3",2026-04-22 09:30:00,,,,,
