session_id,student_id,consultant_id,session_date,status,session_type,note,memo
1,1,,2026-04-22 14:00:00,scheduled,지원전략,"서강대학교 기준 내신이 기준보다 높아 생기부 보완이 필요. 키워드 적합도 6건, 생기부 중요도는 절대적으로 반영.",
2,2,,2026-04-23 14:00:00,scheduled,지원전략,"서강대학교 기준 내신이 70% 컷 안쪽에 위치. 키워드 적합도 5건, 생기부 중요도는 절대적으로 반영.",
3,3,,2026-04-24 14:00:00,scheduled,지원전략,"서강대학교 기준 내신이 70% 컷 안쪽에 위치. 키워드 적합도 4건, 생기부 중요도는 절대적으로 반영.",
4,4,,2026-04-25 14:00:00,scheduled,지원전략,"서강대학교 기준 내신이 기준보다 높아 생기부 보완이 필요. 키워드 적합도 2건, 생기부 중요도는 절대적으로 반영.",
5,5,,2026-04-26 14:00:00,scheduled,지원전략,"서강대학교 기준 내신이 70% 컷 안쪽에 위치. 키워드 적합도 3건, 생기부 중요도는 절대적으로 반영.",
6,6,,2026-04-27 14:00:00,scheduled,지원전략,"서강대학교 기준 내신이 기준보다 높아 생기부 보완이 필요. 키워드 적합도 4건, 생기부 중요도는 절대적으로 반영.",
7,7,,2026-04-28 14:00:00,scheduled,지원전략,"경기대학교 기준 내신이 70% 컷 안쪽에 위치. 키워드 적합도 2건, 생기부 중요도는 보통으로 반영.",
8,8,,2026-04-22 14:00:00,scheduled,지원전략,"서강대학교 기준 내신이 70% 컷 안쪽에 위치. 키워드 적합도 5건, 생기부 중요도는 절대적으로 반영.",
9,9,,2026-04-23 14:00:00,scheduled,지원전략,"서강대학교 기준 내신이 기준보다 높아 생기부 보완이 필요. 키워드 적합도 4건, 생기부 중요도는 절대적으로 반영.",
10,10,,2026-04-24 14:00:00,scheduled,지원전략,"서강대학교 기준 내신이 기준보다 높아 생기부 보완이 필요. 키워드 적합도 4건, 생기부 중요도는 절대적으로 반영.",
11,11,,2026-04-25 14:00:00,scheduled,지원전략,"서강대학교 기준 내신이 70% 컷 안쪽에 위치. 키워드 적합도 5건, 생기부 중요도는 절대적으로 반영.",
12,12,,2026-04-26 14:00:00,scheduled,지원전략,"서강대학교 기준 내신이 70% 컷 안쪽에 위치. 키워드 적합도 5건, 생기부 중요도는 절대적으로 반영.",
13,13,,2026-04-27 14:00:00,scheduled,지원전략,"서강대학교 기준 내신이 기준보다 높아 생기부 보완이 필요. 키워드 적합도 2건, 생기부 중요도는 절대적으로 반영.",
14,14,,2026-04-28 14:00:00,scheduled,지원전략,"서강대학교 기준 내신이 기준보다 높아 생기부 보완이 필요. 키워드 적합도 2건, 생기부 중요도는 절대적으로 반영.",
15,15,,2026-04-22 14:00:00,scheduled,지원전략,"경기대학교 기준 내신이 70% 컷 안쪽에 위치. 키워드 적합도 1건, 생기부 중요도는 보통으로 반영.",
16,16,,2026-04-23 14:00:00,scheduled,지원전략,"서강대학교 기준 내신이 70% 컷 안쪽에 위치. 키워드 적합도 5건, 생기부 중요도는 절대적으로 반영.",
